selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
01-1-000002, -846144.74366416, -45040.59998584, 1516762.72934247, 27.32, 26.98, 1.42
01-1-000007, -842252.25795497, 51838.97401676, 1518710.83973963, 10.62, 10.45, 1.33
01-1-000008, -818506.17480620, -2471.42110237, 1532514.36987777, 14.56, 13.45, 1.87
01-1-000009, -822250.03554228, 99940.04916074, 1527244.45509698, 14.61, 13.91, 2.20
01-1-000012, -803462.15841977, 290627.21161731, 1512793.15964047, 11.47, 10.06, 1.77
01-1-000017, -809032.04048511, 239461.90903966, 1518777.11056876, 11.31, 10.85, 0.94
01-1-000021, -800684.24940357, 135684.35604193, 1535920.97722589, 9.11, 8.52, 1.52
01-1-000022, -799181.86889454, 106704.61217695, 1538987.07797382, 9.78, 9.27, 1.65
01-1-000025, -809933.90274174, 95317.34378869, 1534105.74510449, 8.96, 8.46, 0.73
01-1-000031, -782397.09281172, -56947.70030361, 1550216.27800443, 24.78, 23.02, 1.39
01-1-000032, -779522.49576147, -122000.27184176, 1547908.06324935, 19.79, 18.44, 2.01
01-1-000038, -794668.71473447, -313637.31387948, 1512842.36758650, 14.22, 14.10, 1.46
01-1-000039, -795538.94030106, -334054.39383743, 1508006.70304299, 15.97, 12.76, 0.16
01-1-000041, -764149.75887674, -294707.63509738, 1532247.14580381, 8.01, 7.54, 3.12
01-1-000043, -757358.78651624, -282246.17416987, 1537954.33145888, 9.42, 8.68, 1.86
01-1-000044, -763721.30474164, -228081.66213890, 1543783.43172859, 10.73, 9.67, 0.61
01-1-000045, -763251.63388967, -197575.06351998, 1548215.03598170, 12.87, 12.52, 2.60
01-1-000046, -748467.97313860, -188793.94166206, 1556506.11973660, 11.93, 11.21, 3.11
01-1-000050, -788281.69116685, -14764.17908904, 1548209.53180988, 21.08, 15.43, 3.04
01-1-000055, -759847.48876458, 16208.42678715, 1562346.90152963, 9.94, 9.01, 3.06
01-1-000057, -748851.78803116, -8770.32352469, 1567706.23555174, 15.17, 13.68, 1.88
01-1-000059, -773360.44126036, 53603.92133383, 1554863.01888984, 8.54, 7.89, 1.33
01-1-000061, -744760.56933414, 97692.56805580, 1566635.44467491, 16.53, 16.39, 0.02
01-1-000062, -754793.69026735, 131311.80472134, 1559359.62980751, 18.96, 16.62, 1.34
01-1-000067, -760185.95352566, 253410.81432819, 1541576.80160406, 13.63, 8.39, 1.65
01-1-000068, -769904.14920552, 341351.40956198, 1519633.36901575, 12.23, 11.83, 0.79
01-1-000072, -759899.39182967, 398161.27471724, 1510820.72848252, 14.05, 13.34, 2.47
01-1-000074, -728418.23772208, 440364.20590015, 1514610.51003741, 12.66, 11.11, 2.89
01-1-000079, -711879.89981652, 393027.45158030, 1535355.06985893, 11.30, 10.10, 1.21
01-1-000089, -727690.41744343, 91683.52600345, 1574998.26902145, 10.59, 9.57, 1.37
01-1-000092, -711063.22695327, 18185.19113858, 1585123.70056663, 22.67, 22.32, 2.23
01-1-000094, -724739.58685691, -8538.53213523, 1578999.17185268, 11.85, 10.96, 1.28
01-1-000095, -740038.26418806, -284429.79489954, 1545963.07178112, 16.21, 11.06, 1.67
01-1-000097, -698195.12271193, -473140.27904037, 1518953.78697670, 29.50, 27.44, 0.32
01-1-000106, -669526.98358156, -477956.94126207, 1530310.27590995, 9.59, 9.27, 1.21
01-1-000107, -676714.00610866, -427057.30865634, 1542154.00302939, 10.67, 10.40, 2.71
01-1-000108, -684348.19486537, -274024.60445069, 1573256.75728412, 10.87, 10.12, 1.07
01-1-000109, -677897.76962857, -246024.70583119, 1580659.74139069, 10.82, 10.31, 3.05
01-1-000110, -673660.16388722, -263814.66271030, 1579602.02814839, 11.03, 10.82, 3.00
01-1-000113, -695879.20844938, 52921.94752351, 1591072.01430928, 18.35, 17.43, 1.58
01-1-000120, -695667.94433992, 372482.54298217, 1547857.10787249, 25.18, 22.70, 0.79
01-1-000121, -689218.79644285, 463188.19532219, 1526103.83209795, 22.28, 21.50, 0.83
01-1-000122, -647094.01263079, 535855.58930456, 1520752.07914651, 12.42, 11.16, 1.50
01-1-000131, -639342.52996181, 358518.23341650, 1575203.02364170, 25.82, 19.90, 0.64
01-1-000133, -653645.59990212, 328406.50265236, 1575898.27042999, 12.04, 11.57, 0.74
01-1-000134, -655444.39515556, 263978.75355666, 1587219.77763945, 18.48, 16.12, 0.65
01-1-000138, -659329.97336453, 103944.02134491, 1604069.32102381, 15.24, 13.40, 0.14
01-1-000140, -639595.24742328, 26281.41667026, 1615173.66453622, 19.02, 17.91, 2.73
01-1-000141, -658897.91349819, 14078.06581252, 1607549.09960807, 11.49, 11.19, 0.61
01-1-000142, -670724.60336122, -20785.42597499, 1602577.68376855, 13.42, 11.32, 2.85
01-1-000145, -656373.54083205, -96608.78038685, 1605739.48025443, 11.03, 10.12, 2.56
01-1-000150, -661263.20415462, -376184.26888506, 1561977.95460582, 18.53, 16.44, 0.84
01-1-000151, -626115.64118687, -567468.18666211, 1518063.83956261, 11.83, 11.14, 0.80
01-1-000153, -597928.76893100, -468785.48860880, 1562459.63562406, 9.44, 9.05, 2.31
01-1-000154, -630387.98189324, -352947.51964534, 1580062.59390594, 10.83, 10.05, 0.70
01-1-000155, -622210.75601255, -183704.94498617, 1611727.34303601, 12.28, 10.83, 2.41
01-1-000156, -620756.10511991, -142730.96163301, 1616430.78742879, 10.52, 9.78, 1.10
01-1-000157, -602469.22393608, -158515.71831161, 1621870.01984068, 18.84, 18.38, 1.69
01-1-000158, -627443.16593092, -117207.45494636, 1615901.06319402, 16.31, 14.68, 2.84
01-1-000159, -614628.17508398, -108010.56068069, 1621457.58044248, 18.79, 18.38, 2.65
01-1-000160, -601425.93134285, -31572.02617141, 1629677.51910365, 6.84, 6.62, 0.85
01-1-000164, -626807.74903495, 224565.44154300, 1604755.79706519, 20.32, 17.74, 0.07
01-1-000167, -624775.83897515, 268799.56397034, 1598737.22213573, 14.62, 12.29, 0.69
01-1-000168, -625305.54293868, 301786.49430270, 1592631.98819647, 16.22, 15.10, 2.23
01-1-000169, -620890.92690915, 359729.69228856, 1582291.93430538, 13.64, 13.53, 0.86
01-1-000170, -598107.93341497, 361556.78969157, 1590629.54449300, 26.01, 24.10, 2.40
01-1-000173, -617816.41878674, 527814.27688714, 1535667.19109045, 14.92, 13.54, 2.01
01-1-000174, -588527.89132957, 490186.35463950, 1559458.56592999, 15.78, 13.89, 3.13
01-1-000177, -543982.29707174, 602185.01951820, 1536234.10414573, 15.49, 15.25, 2.59
01-1-000178, -558600.77706280, 528205.56096082, 1558050.96747022, 23.68, 19.61, 0.48
01-1-000179, -574728.41346174, 356082.91305470, 1600453.36382859, 30.77, 26.71, 0.84
01-1-000180, -589546.45720886, 310438.19924973, 1604562.82495858, 11.16, 10.82, 1.10
01-1-000182, -564790.34735102, 164354.03516960, 1634796.12632970, 17.91, 16.05, 0.83
01-1-000183, -590523.35853308, 105188.23115379, 1630575.46867772, 13.64, 11.11, 1.58
01-1-000184, -590951.07620338, 32532.35082765, 1633486.22023073, 12.52, 11.99, 0.57
01-1-000185, -565274.12705482, 38942.92543261, 1642409.01417435, 27.65, 24.51, 2.28
01-1-000186, -559509.31921127, 71158.72904732, 1643302.92916312, 25.91, 21.98, 2.96
01-1-000187, -585639.46878436, -68900.45216403, 1634269.83705065, 17.29, 16.90, 2.15
01-1-000195, -558913.39916991, -317481.19590694, 1614119.03602982, 15.37, 13.83, 0.00
01-1-000197, -566004.94877758, -459094.66238897, 1577158.59980068, 10.83, 10.01, 0.38
01-1-000198, -542443.01323097, -655118.74681267, 1514969.88913031, 12.15, 11.75, 2.99
01-1-000203, -511060.67282967, -608648.38060810, 1544966.95675669, 9.25, 8.56, 1.34
01-1-000205, -526761.10981130, -340633.60659973, 1620200.67869546, 10.48, 9.94, 1.54
01-1-000206, -517628.52373008, -387306.06649538, 1612641.77121793, 16.40, 13.45, 2.40
01-1-000209, -531802.38161085, -290261.20939364, 1628340.69445997, 12.87, 11.92, 2.25
01-1-000210, -535807.05713652, -267832.79708903, 1630869.44613178, 9.83, 9.14, 3.10
01-1-000211, -530857.07578641, -191402.94067711, 1643202.49494323, 15.54, 14.27, 0.14
01-1-000212, -539293.35745610, -84219.66302228, 1649432.77612764, 12.39, 9.34, 2.78
